2021-11-17 21:57:47 startup packages configure
2021-11-17 21:57:47 configure gcc-8-base:arm64 8.3.0-6 <none>
2021-11-17 21:57:47 status unpacked gcc-8-base:arm64 8.3.0-6
2021-11-17 21:57:47 status half-configured gcc-8-base:arm64 8.3.0-6
2021-11-17 21:57:47 status installed gcc-8-base:arm64 8.3.0-6
2021-11-17 21:57:47 configure libgcc1:arm64 1:8.3.0-6 <none>
2021-11-17 21:57:47 status unpacked libgcc1:arm64 1:8.3.0-6
2021-11-17 21:57:47 status half-configured libgcc1:arm64 1:8.3.0-6
2021-11-17 21:57:47 status installed libgcc1:arm64 1:8.3.0-6
2021-11-17 21:57:47 configure libc6:arm64 2.28-10 <none>
2021-11-17 21:57:47 status unpacked libc6:arm64 2.28-10
2021-11-17 21:57:47 status half-configured libc6:arm64 2.28-10
2021-11-17 21:57:50 status installed libc6:arm64 2.28-10
2021-11-17 21:57:50 configure libdebconfclient0:arm64 0.249 <none>
2021-11-17 21:57:50 status unpacked libdebconfclient0:arm64 0.249
2021-11-17 21:57:50 status half-configured libdebconfclient0:arm64 0.249
2021-11-17 21:57:50 status installed libdebconfclient0:arm64 0.249
2021-11-17 21:57:50 configure base-passwd:arm64 3.5.46 <none>
2021-11-17 21:57:50 status unpacked base-passwd:arm64 3.5.46
2021-11-17 21:57:50 status half-configured base-passwd:arm64 3.5.46
2021-11-17 21:57:52 status installed base-passwd:arm64 3.5.46
2021-11-17 21:57:52 startup packages configure
2021-11-17 21:57:52 configure mawk:arm64 1.3.3-17+b3 <none>
2021-11-17 21:57:52 status unpacked mawk:arm64 1.3.3-17+b3
2021-11-17 21:57:52 status half-configured mawk:arm64 1.3.3-17+b3
2021-11-17 21:57:53 status installed mawk:arm64 1.3.3-17+b3
2021-11-17 21:57:53 configure base-files:arm64 10.3+mendel5.3 <none>
2021-11-17 21:57:53 status unpacked base-files:arm64 10.3+mendel5.3
2021-11-17 21:57:53 status half-configured base-files:arm64 10.3+mendel5.3
2021-11-17 21:57:55 status installed base-files:arm64 10.3+mendel5.3
2021-11-17 21:57:55 startup packages configure
2021-11-17 21:57:55 configure libexpat1:arm64 2.2.6-2+deb10u1 <none>
